panel,model,term,coef,se,z,p,stars,nobs,y1,y0,pseudo_r2,status
Panel A,2000-2005 ESO,const,-0.20626849414685888,0.1335866143999493,-1.5440805583207982,0.1225688180805289,,1474,960,514,0.027992395990035446,estimated
Panel A,2000-2005 ESO,roa,4.217286774865224,0.7257914152784426,5.8106043776328,6.22477079211295e-09,*,1474,960,514,0.027992395990035446,estimated
Panel A,2000-2005 ESO,past_stock_return,-0.09289937197985149,0.09937617570700617,-0.9348253876638356,0.3498782937025444,,1474,960,514,0.027992395990035446,estimated
Panel A,2000-2005 ESO,cash,1.673176590532328,0.5836710037841107,2.8666433310625887,0.00414850257534264,*,1474,960,514,0.027992395990035446,estimated
Panel A,2000-2005 ESO,eso_dilution,9.89490347887756,12.01637291058572,0.8234517647301649,0.4102511363630871,,1474,960,514,0.027992395990035446,estimated
Panel B,2000-2005 ESO,const,-0.9953098666805918,0.04619308909458952,-21.546726711489185,5.682497531367643e-103,*,6358,2404,3954,0.061340238240645606,estimated
Panel B,2000-2005 ESO,regular_dummy,1.0530903908173643,0.07633222706523426,13.796143926435986,2.6885398799820684e-43,*,6358,2404,3954,0.061340238240645606,estimated
Panel B,2000-2005 ESO,roa,0.957852249811752,0.15020695370157688,6.376883534398557,1.8072778980884904e-10,*,6358,2404,3954,0.061340238240645606,estimated
Panel B,2000-2005 ESO,roa_regular,1.358371786669221,0.37728126753426905,3.6004220287609114,0.00031770109205029955,*,6358,2404,3954,0.061340238240645606,estimated
Panel B,2000-2005 ESO,past_stock_return,-0.08786485094032079,0.019475636118305256,-4.511526627761141,6.43627014616368e-06,*,6358,2404,3954,0.061340238240645606,estimated
Panel B,2000-2005 ESO,cash,0.8534698016876158,0.12303779746600785,6.936647268278737,4.0151466543440335e-12,*,6358,2404,3954,0.061340238240645606,estimated
Panel B,2000-2005 ESO,eso_dilution,-0.7699535234344044,0.37070064408088027,-2.0770223514001076,0.03779949632657465,†,6358,2404,3954,0.061340238240645606,estimated
