panel,model,base_2000_2005_N,eso_2000_2005_N,lost_due_to_missing_eso,eso_retention_rate,y1,y0
Panel A,2000-2005 ESO,1547,1474,73,0.9528118939883645,960,514
Panel B,2000-2005 ESO,6674,6358,316,0.9526520827090201,2404,3954
