rep_bucket,0,1-4,5-9,10
0,0.0,60612.350000000006,59702.736999999994,21342.135000000002
1-4,74432.194,107067.411,123280.288,256934.36
5+,107373.56300000001,68792.53899999999,61223.195,1193831.8059999999
