rep_bucket,0,1-4,5-9,10
0,0.0,24225.661999999997,45899.613,81587.141
1-4,13081.589999999998,43143.935,40772.217000000004,288163.85699999996
5+,5729.081,10326.835000000001,28181.198000000004,492325.12299999996
