rep_bucket,0,1-4,5-9,10
0,-5.383,20428.093,78843.56900000002,87280.00899999999
1-4,47732.741,43681.869000000006,94337.19900000001,267782.06899999996
5+,26949.354,9972.499999999998,94282.03,745393.369
